question,correct_answer_text,generated_answer,correct_option,predicted_option,is_correct
Q.42. The coordination number of Th in K 4 [Th(C 2 O 4 ) 4 (H 2 O) 2 ] is: (C 2 O 2- 4 = oxalato) (a) 14 (b) 6 (c) 8 (d) 10,d,The correct option is (a),d,a,0
"Q.43. The number of bridging CO Iigand(s) and Co-Co bond(s) in Co 2 (CO) 8 , respectively are: (a) 2 and 1 (b) 2 and 0 (c) 0 and 2 (d) 4 and 0",a,The correct option is (a),a,a,1
"Q.44. The pair of metal ions that can give a spin only magnetic moment of 3.9 BM for the compex [M(H 2 O) 6 ]Cl 2 , is: (a) V 2+ and Co 2+ (b) V 2+ and Fe 2+ (c) Co 2+ and Fe 2+ (d) Cr 2+ and Mn 2+",a,The correct option is (a),a,a,1
Q.45. The metal d-orbitals that are directly facing the ligands in K 3 [Co(CN) 6 ] are: (a) (b) (c) (d),b,The correct option is (a),b,a,0
Q.46. The magnetic moment of an octahedral homoleptic Mn(II) complex is 5.9 BM. The suitable ligand for this complex is: (a) Ethylenediamine (b) CN - (c) NCS - (d) CD,c,The correct option is (a),c,a,0
Q.47. The following ligand is: (a) hexadentate (b) tetradentate (c) bidentate (d) tridentate,b,The correct option is (a),b,a,0
Q.48. The compound that inhibits the growth of tumors is: (a) frans-[Pt(Cl) 2 (NH 3 ) 2 ] (b) cis-[Pd(Cl) 2 (NH 3 ) 2 ] (c) cis-[Pt(Cl) 2 (NH 3 ) 2 ] (d) trans-[Pd(Cl) 2 (NH 3 ) 2 ],c,The correct option is (a),c,a,0
"Q.49. The calculated spin-only magnetic moments (BM) of the anionic and cationic species of [Fe(H 2 O) 6 ] 2 and [Fe(CN) 6 ], respectively, are: (a) 0 and 4.9 (b) 2.84 and 5.92 (c) 4.9 and 0 (d) 0 and 5.92",c,The correct option is (a),c,a,0
"Q.50. The one that will show optical activity is: (en = ethane 1, 2-diamine) (a) (b) (c) (d)",c,The correct option is (a),c,a,0
Q.51. The degenerate orbitals of [Cr(H 2 O) 6 ] 3+ are: (a) d xz and d yz (b) d yz and dz 2 (c) (d),a,The correct option is (a),a,a,1
"Q.52. The correct statements among I to III are: (I) Valence bond theory cannot explain the color exhibited by transition metal complexes. (II) Valence bond theory can predict quantitatively the magnetic properties of transition metal complexes. (III) Valence bond theory cannot distinguish ligands as week and strong field ones. (a) (II) and (III) only (b) (I), (II) and (III) (c) (I) and (III) only (d) (I) and (II) only",c,The correct option is (a),c,a,0
"Q.53. The maximum possible denticities of a ligand given below towards a common transition and inner-transition metal ion, respectively, are: (a) 8 and 6 (b) 6 and 8 (c) 6 and 6 (d) 8 and 8",b,The correct option is (a),b,a,0
"Q.54. Three complexes, [CoCl(NH 3 ) 5 ] 2+ (I), [Co(NH 3 ) 5 H 2 O] 3+ (II) and [Co(NH 3 ) 6 ] 3+ (III) absorb light in the visible region. The correct order of the wavelength of light absorbed by them is: (a) (III) > (I) > (II) (b) (III) > (II) > (I) (c) (II) > (1) > (III) (d) (I) > (II) > (III)",d,The correct option is (a),d,a,0
"Q.55. The crystal field stabilization energy (CFSE) of [Fe(H 2 O) 6 ] Cl 2 and K 2 [NiCl 4 ], respectively are: (a) -0.6Δ o and -0.8Δ t (b) -0.4Δ o and -0.8Δ t (c) -2.4Δ o and -1.2Δ t (d) -0.4Δ o and -1.2Δ t",b,The correct option is (a),b,a,0
Q.56. The complex ion that will lose its crystal field stabilization energy upon oxidation of its metal to +3 state is: (a) [Co(phen) 3 ] 2+ (b) [Ni(phen) 3 ] 2+ (c) [Zn(phen) 3 ] 2+ (d) [Fe(phen) 3 ] 2+,d,The correct option is (a),d,a,0
"Q.57. The coordination numbers of Co and Al in [Co(Cl)(en) 2 ]Cl and K 3 [A 1 (C 2 O 4 ) 3 ], respectively, are: (en = ethane-1,2-diamine) (a) 5 and 3 (b) 3 and 3 (c) 6 and 6 (d) 5 and 6",d,The correct option is (a),d,a,0
Q.58. The recommended concentration of fluoride ion in drinking water is up to 1 ppm as fluoride ion is required to make teeth enamel harder by converting [3Ca 3 (PO 4 ) 2 . Ca(OH) 2 ] to (a) [CaF 2 ] (b) [3(CaF 2 ).Ca(OH) 2 ] (c) [3Ca 3 (PO 4 ) 2 .CaF 2 ] (d) [3{Ca(OH) 2 }.CaF 2 ],c,The correct option is (a),c,a,0
"Q.59. Hydrogen peroxide oxides [Fe(CN) 6 ] 4- to [Fe(CN) 6 ] 3- in acidic medium but reduces [Fe(CN) 6 ] 3- to [Fe(CN) 6 ] 4- in alkaline medium. The other products formed are, respectively: (a) (H 2 O + O 2 ) and H 2 O (b) (H 2 O + O 2 ) and (H 2 O+OH - ) (c) H 2 O and (H 2 O + O 2 ) (d) H 2 O and (H 2 O+OH - )",c,The correct option is (a),c,a,0
Q.60. Consider the following reaction and statements: [Co(NH 3 ) 4 Br 2 ] + +Br - → [Co(NH 3 ) 3 Br 3 ] + NH 3 (I) Two isomers are produced if the reactant complex ion is a cis-isomer. (II) Two isomers are produced if the reactant complex ion is a trans-isomer. (III) Only one isomer is produced if the reactant complex ion is a trans-isomer. (IV) Only one isomer is produced if the reactant complex ion is a cis-isomer. The correct statements are: (a) (I) and (II) (b) (I) and (III) (c) (III) and (IV) (d) (II) and (IV),b,The correct option is (a),b,a,0
Q.61. The correct combination is: (a) [NiCl 4 ] 2 - paramagnetic ; [Ni(CO) 4 ] — tetrahedral (b) [NiCl 4 ] 2— — square-planar ; [Ni(CN) 4 ] 2 - paramagnetic (c) [NiCl 4 ] 2- — diamagnetic ; [Ni(CO) 4 ] —square-planar (d) [Ni(CO) 4 ] 2- — tetrahedral; [Ni(CN) 4 — paramagnetic,a,The correct option is (a),a,a,1
Q.62. When XO 2 is fused with an alkali metal hydroxide in presence of an oxidizing agent such as KNO 3 ; a dark green product is formed which disproportioates in acidic solution to afford a dark purple solution. X is: (a) Mn (b) Cr (c) V (d) Ti,a,The correct option is (a),a,a,1
"Q.63. In a complexometric titration of metal ion with ligand M (Metal ion) + L (Ligand) → C (Complex) end point is estimated spectrophotometrically (through light absorption). If 'M' and 'C' do not absorb light and only 'L' absorbs, then the titration plot between absorbed light (A) versus volume of ligand 'L' (V) would look like: (a) (b) (c) (d)",a,The correct option is (a),a,a,1
"Q.64. In Wilkinson's catalyst, the hybridization of central metal ion and its shape are respectively: (a) sp 3 d, trigonal bipyramidal (b) d 2 sp 3 , octahedral (c) dsp 2 , square planar (d) sp 3 , tetrahedral",c,The correct option is (a),c,a,0
Q.65. Which of the following complexes will show geometrical isomerism? (a) Potassium tris(oxalato)chromate(III) (b) Pentaaquachlorochromium(III)chloride (c) Aquachlorobis(ethylenediamine)cobalt(II) chloride (d) Potassium amminetrichloroplatinate(II),c,The correct option is (a),c,a,0
Q.66. On treatment of 100 mL of 0.1 M solution of CoCl 3 × 6H 2 O with excess AgNO 3 ; 1.2 × 10 22 ions are precipitated. The complex is (a) [Co(H 2 O) 4 Cl 2 ]Cl • 2H 2 O (b) [Co(H 2 O) 3 Cl 3 ] • 3H 2 O (c) [Co(H 2 O) 6 ]Cl 3 (d) [Co(H 2 O) 5 Cl]Cl 2 • H 2 O,d,The correct option is (a),d,a,0
Q.67. The pair of compounds having metals in their highest oxidation state is: (a) MnO 2 and CrO 2 Cl 2 (b) [Fe(CN) 6 ] 3- and [Cu(CN) 4 ] 2- (c) [NiCl 4 ] 2- and [CoCl 4 ] 2- (d) [FeCl 4 ] - and Co 2 O 3,a,The correct option is (a),a,a,1
Q.68. Which of the following ions does not liberate hydrogen gas on reaction with dilute acids? (a) V 2+ (b) Ti 2+ (c) Mn 2+ (d) Cr 2+,c,The correct option is (a),c,a,0
"Q.69. [Co 2 (CO) 8 ] displays: (a) no Co–Co bond, six terminal CO and two bridging CO (b) no Co–Co bond, four terminal CO and four bridging CO (c) one Co–Co bond, six terminal CO and two bridging CO (d) one Co-Co bond, four terminal CO and four bridging CO",c,The correct option is (a),c,a,0
"Q.70. The reaction of zinc with dilute and concentrated nitric acid, respectively produces: (a) N 2 O and NO 2 (b) NO 2 and NO (c) NO and N 2 O (d) NO 2 and N 2 O",a,The correct option is (a),a,a,1
"Q.71. The pair having the same magnetic moment is: [At. No.: Cr = 24, Mn = 25, Fe = 26, Co = 27] (a) [Cr(H 2 O) 6 ] 2+ and [CoCl 4 ] 2- (b) [Cr(H 2 O) 6 ] 2+ and [Fe(H 2 O) 6 2+ (c) [Mn(H 2 O) 6 ] 2+ and [Cr(H 2 O) 6 ] 2+ (d) [CoCl 4 ] 2- and [Fe(H 2 O) 6 ] 2+",b,The correct option is (a),b,a,0
Q.72. Which one of the following complexes shows optical isomerism? (a) [Co(NH 3 ) 3 Cl 3 ] (b) cis[Co(en) 2 Cl 2 ]Cl (c) trans[Co(en) 2 Cl 2 ]Cl (en = ethylenediamine) (d) [Co(NH 3 ) 4 Cl 2 ] Cl,b,The correct option is (a),b,a,0
Q.73. Which one of the following complexes will consume more equivalents of aqueous solution of Ag(NO 3 )? (a) Na 3 [CrCl 6 ] (b) [Cr(H 2 O) 5 Cl]Cl 2 (c) [Cr(H 2 O) 6 ]Cl 3 (d) Na 2 [CrCl 5 (H 2 O)],c,The correct option is (a),c,a,0
Q.74. Which one of the following species is stable in aqueous solution? (a) MnO 2- 4 (b) MnO 3- 4 (c) Cu + (d) Cr 2+,a,The correct option is (a),a,a,1
"Q.75. Identify the correct trend given below: (Atomic No.: Ti = 22, Cr = 24 and Mo = 42) (a) (b) (c) (d)",d,The correct option is (a),d,a,0
"Q.76. The transition metal ions responsible for color in ruby and emerald are, respectively: (a) Cr 3+ and Cr 3+ (b) Co 3+ and Co 3+ (c) Co 3+ and Cr 3+ (d) Cr 3+ and Co 3+",a,The correct option is (a),a,a,1
Q.77. Which of the following is an example of homoleptic complex? (a) [Co(NH 3 ) 4 Cl 2 ] (b) [Co(NH 3 ) 6 ]Cl 3 (c) [Co(NH 3 ) 5 Cl]Cl 2 (d) [Pt(NH 3 ) 2 Cl 2 ],b,The correct option is (a),b,a,0
